SeqNum,InitialVelocity,Kr,InitialTargetDist,Tb,Tb_prime,Tb_idx,decrement_point,detection_point,MaxCallRatePoint,OverlapPoint,Rate,Velocity,Distance,IPI,CallDur,Amplitude
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,3.74585758978173,4.80566686433966,7.63065136573941,0.266961563815956,0.01,90.0712985923213
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,4.5029269902304,5.22320107262109,6.34772302445677,0.222077773450383,0.00885994810163338,83.6452405018075
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,5.50975746630873,4.72034457785976,5.18776615996543,0.18149619218538,0.0076173206923395,78.3526463471781
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,6.59964415434764,5.35938664575484,4.33104159328098,0.151523321047731,0.00607349420078209,72.7009264379223
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,8.12264303233174,5.52223322448733,3.51896952993735,0.123112636615884,0.00470143135351479,69.75
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,10.0676989495292,5.08068087678759,2.83911283766288,0.0993275628336868,0.0039763540926982,69.5
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,12.2440816204086,5.34644894461867,2.33446118863585,0.0816721115557732,0.00304416212905469,69.25
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,15.0612560815877,4.92541051129319,1.89780541400371,0.0663955246881764,0.00212992398977524,69
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,18.1969019950328,4.36791314919817,1.57078019880174,0.0549544092875244,0.00239004064792492,68.75
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,21.4792108252899,4.95415046411995,1.33074411186834,0.0465566453131782,0.00129275126813516,68.5
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,25.9825930568306,4.64183732646338,1.10009548588219,0.0384873056285315,0.00124910570679325,68.25
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,31.020163401428,5.18746846973119,0.921443674020671,0.0322370964671955,0.00155627805251058,68
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,37.8981360905744,5.39296115802641,0.754214752541412,0.0263865219548016,0.00150212935617393,67.75
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,46.7114131847512,4.89226245670503,0.611913264543756,0.0214080442405979,0.0011894370276984,67.5
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,56.3574310542447,5.29650598208361,0.507179493433998,0.0177438889831136,0.00091335109451127,67.25
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,69.1757281202748,4.44439864673614,0.413198879289509,0.0144559374678546,0.000530009108160346,67
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,81.9121854841302,4.65300065381389,0.348950930370074,0.0122081958146965,0.000606930365479622,66.75
81,5,5,20,0.0263865219548016,-0.0049784777142037,19,2,2,27,27,97.8391455359298,4.45857942109272,0.292146187262404,0.0102208578634077,0.000747063975881913,66.5
