ConditionName,SeqID,ConditionCode,SSG_ID,GroupSize,FirstCall,LastCall,SequenceLength_calls,NormalisedPosition_percent,StableIPI_ms,WithinCV,LeftFlankIPI_ms,RightFlankIPI_ms,LeftFlankRatio,RightFlankRatio,AnchorDistance_m,NearestDistance_m,AnchorSameWithinSSG,AnchorSwitchWithinSSG
two_targets_moving_anchor_random,4423,C5,234,2,56,57,250,22.6,10.6993861958142,0.0488984785723275,17.3992952203304,18.0083859453523,1.62619564355359,1.68312327602471,0.307754759655564,0.307754759655564,1,0
two_targets_moving_anchor_random,4423,C5,235,2,125,126,250,50.2,12.073137957544,0.0469010657834085,18.5448870059815,19.867194249862,1.5360453157411,1.645570051442,0.34668319834271,0.34668319834271,1,0
two_targets_moving_anchor_random,4423,C5,236,2,183,184,250,73.4,12.1543038007047,0.0458188552594953,21.7688757547578,21.5832754941295,1.7910425896624,1.77577225713891,0.34885722410951,0.34885722410951,1,0
two_targets_moving_anchor_random,4423,C5,237,2,237,238,250,95,11.235835547217,0.0357819841802462,16.1109603040623,16.0248064845187,1.43389071835007,1.42622294685399,0.322378594542131,0.322378594542131,1,0
two_targets_moving_anchor_random,4423,C5,238,3,22,24,250,9.2,17.3690711489823,0.0472658581346809,42.108354122252,37.2880281359507,2.42432964670764,2.14680611393175,0.498031907456098,0.498031907456098,1,0
two_targets_moving_anchor_random,4425,C5,239,2,81,82,125,65.2,8.44139633046062,0.0141798326727656,10.6211138759397,10.9732059733971,1.2582176526428,1.29992782518699,0.242155317401523,0.242155317401523,1,0
two_targets_moving_anchor_random,4426,C5,240,2,41,42,167,24.8502994011976,8.39296610914712,0.0405211630054063,19.324646543536,18.996775798058,2.30248118391362,2.26341624057725,0.241364292480905,0.241364292480905,1,0
two_targets_moving_anchor_random,4426,C5,241,2,46,47,167,27.8443113772455,8.22117144864204,0.0200127455233057,18.7190565233268,17.3248063672886,2.27693299431419,2.10734035599639,0.23581537524678,0.23581537524678,1,0
two_targets_moving_anchor_random,4426,C5,242,2,148,149,167,88.9221556886228,9.08906062373956,0.047577338171643,11.3811868121546,11.9534740381048,1.252185157884,1.31514955537691,0.261069002855537,0.261069002855537,1,0
two_targets_moving_anchor_random,4427,C5,243,2,26,27,132,20.0757575757576,12.5160908126764,0.0391751952834323,19.9939483247703,17.1943688713346,1.59745951224006,1.37378108937337,0.359114512013972,0.359114512013972,1,0
