SeqID,SSG_ID,GroupSize,FirstCall,LastCall,SequenceLength_calls,NormalisedPosition_percent,StableIPI_ms,WithinCV,LeftFlankRatio,RightFlankRatio,AnchorDistance_m,NearestDistance_m,AnchorSameWithinSSG,AnchorSwitchWithinSSG,ConditionName
1630,56,2,38,39,45,85.5555555555556,8.04502196761307,0.0409297226482799,1.39775871168068,1.20431449136801,0.23100265411457,0.23100265411457,1,0,two_targets_stationary_anchor_random
1632,57,2,32,33,67,48.5074626865672,13.705253737846,0.0491247544223974,1.48278541094607,1.2509109194448,0.394032173252193,0.394032173252193,1,0,two_targets_stationary_anchor_random
1632,58,2,41,42,67,61.9402985074627,8.67029089831034,0.0412811600208728,1.45974052602898,1.34316472264025,0.249250266483063,0.249250266483063,1,0,two_targets_stationary_anchor_random
1632,59,2,47,48,67,70.8955223880597,7.12859042365248,0.0435337372678695,1.41860116286297,1.37038324848363,0.204928489010787,0.204928489010787,1,0,two_targets_stationary_anchor_random
1636,60,3,34,36,43,81.3953488372093,10.6901759208,0.0469644613763469,1.46477142784488,1.20881735332463,0.304820898100242,0.304820898100242,1,0,two_targets_stationary_anchor_random
1637,61,2,54,55,82,66.4634146341463,6.94043130625902,0.0380904827715074,1.24631240257865,1.24321735837541,0.199388296291533,0.199388296291533,1,0,two_targets_stationary_anchor_random
1639,62,2,34,35,54,63.8888888888889,10.5010234307057,0.0388740810918155,1.45813379205843,1.2634120150056,0.301829356279367,0.301829356279367,1,0,two_targets_stationary_anchor_random
1640,63,2,39,40,48,82.2916666666667,8.8210347635545,0.0449222839447457,1.56774953171193,1.41756826246634,0.253504063450298,0.253504063450298,1,0,two_targets_stationary_anchor_random
1805,64,2,36,37,43,84.8837209302326,11.6082401647061,0.0474698673143286,1.92393103936938,1.65679163173881,0.333590762691062,0.333590762691062,1,0,two_targets_stationary_anchor_random
1809,65,2,34,35,53,65.0943396226415,14.5323128518645,0.0472649177505765,1.4599436259905,1.24654400397304,0.417841075352249,0.417841075352249,1,0,two_targets_stationary_anchor_random
1809,66,2,37,38,53,70.7547169811321,11.5397563988956,0.0494389031267298,1.56980501348239,1.36215010386035,0.33160544876007,0.33160544876007,1,0,two_targets_stationary_anchor_random
1811,67,2,41,42,108,38.4259259259259,10.1205053384552,0.0430188802208146,1.36382688050541,1.22449014098127,0.290802828559458,0.290802828559458,1,0,two_targets_stationary_anchor_random
1811,68,2,76,77,108,70.8333333333333,6.36444142600319,0.0412943789294262,1.3235467926811,1.36080785900768,0.182884820890475,0.182884820890475,1,0,two_targets_stationary_anchor_random
1811,69,2,92,93,108,85.6481481481482,5.89369644243817,0.0416613419689923,1.50861752412062,1.51900204416667,0.169258825899748,0.169258825899748,1,0,two_targets_stationary_anchor_random
1811,70,2,98,99,108,91.2037037037037,6.63068255899773,0.0428991419728297,1.24698153994484,1.24089901190634,0.190378587394443,0.190378587394443,1,0,two_targets_stationary_anchor_random
1813,71,2,28,29,47,60.6382978723404,18.9001609304256,0.041880728256176,1.71942555086148,1.47903800506658,0.543111739910159,0.543111739910159,1,0,two_targets_stationary_anchor_random
1815,72,2,39,40,46,85.8695652173913,9.69105012747552,0.0466273450562957,1.59616245268765,1.37013313275545,0.27843595110076,0.27843595110076,1,0,two_targets_stationary_anchor_random
1818,73,2,39,40,45,87.7777777777778,8.43085783420037,0.040985096260094,1.51393261512758,1.31008113231997,0.242227117236409,0.242227117236409,1,0,two_targets_stationary_anchor_random
1827,74,2,42,43,50,85,7.98523109495837,0.0326561176683891,1.3859111876576,1.23294075383103,0.229306501274596,0.229306501274596,1,0,two_targets_stationary_anchor_random
1828,75,2,47,48,49,96.9387755102041,5.87652401643127,0.0463832294861572,1.47256709035499,1.2530294499877,0.168899986907857,0.168899986907857,1,0,two_targets_stationary_anchor_random
1835,76,2,50,51,64,78.90625,7.97868215574196,0.031460739030028,1.23857219155435,1.21257905508273,0.229125722749359,0.229125722749359,1,0,two_targets_stationary_anchor_random
1835,77,2,55,56,64,86.71875,7.39480786672581,0.0458657574002546,1.2825086544748,1.28136913598603,0.212556713145819,0.212556713145819,1,0,two_targets_stationary_anchor_random
1840,78,2,41,42,67,61.9402985074627,8.11349548757515,0.0453704652023706,1.68097137043118,1.50315707807336,0.233339434319148,0.233339434319148,1,0,two_targets_stationary_anchor_random
4005,79,2,19,20,23,84.7826086956522,7.71435334254863,0.033710040803843,1.62123251434045,1.28045400496447,0.221716773885089,0.221716773885089,1,0,two_targets_moving_anchor_random
4016,80,2,157,158,250,63,10.5588552001917,0.0481901049632806,1.2458432044795,1.26225341550327,0.303120735784298,0.303120735784298,1,0,two_targets_moving_anchor_random
4016,81,2,170,171,250,68.2,8.58280979686422,0.0344324109818368,1.83995172525797,1.82942452055518,0.246509473216009,0.246509473216009,1,0,two_targets_moving_anchor_random
4016,82,2,178,179,250,71.4,6.93584157526409,0.0408821184347063,2.51785832727666,2.41345758161768,0.199263652059029,0.199263652059029,1,0,two_targets_moving_anchor_random
4016,83,2,184,185,250,73.8,9.72280785546,0.0385109398363358,1.38605238747164,1.46988161929503,0.279568807615076,0.279568807615076,1,0,two_targets_moving_anchor_random
4018,84,2,26,27,115,23.0434782608696,7.77567042657217,0.0491742255604999,1.2966472344028,1.2877815582849,0.223571171086685,0.223571171086685,1,0,two_targets_moving_anchor_random
