SeqID,kr,InitialVelocity_m_s,InitialCallDuration_ms,CrMax_Hz,BuzzReadinessDistance_m,PrimeResponsivity_Hz,PrimeResponsivityNorm,DeltaTStar_ms,BuzzReadinessCallNumber,BuzzReadinessSequencePercent,TerminalTbMin_ms,TerminalIpiMin_ms,TimeToTargetAtReadiness_ms,TimeFromDstopToTarget_ms,AchievedCeiling,MaxObservedCallRate_Hz,NumCalls
475,5,1,10,190.555555555556,4.09437870746116,189.042070352625,0.992057512054594,5.28982780465043,6,6.18556701030928,4.65511928360804,5.58614314032965,4094.37870746116,150,0,179.014388797239,97
476,5,1,10,190.555555555556,4.09437870746116,189.042070352625,0.992057512054594,5.28982780465043,6,6.18556701030928,4.65511928360804,5.58614314032965,4094.37870746116,150,0,179.014388797239,97
477,5,1,10,190.555555555556,4.09437870746116,189.042070352625,0.992057512054594,5.28982780465043,6,6.18556701030928,4.65511928360804,5.58614314032965,4094.37870746116,150,0,179.014388797239,97
478,5,1,10,190.555555555556,4.09437870746116,189.042070352625,0.992057512054594,5.28982780465043,6,6.18556701030928,4.65511928360804,5.58614314032965,4094.37870746116,150,0,179.014388797239,97
479,5,1,10,190.555555555556,4.09437870746116,189.042070352625,0.992057512054594,5.28982780465043,6,6.18556701030928,4.65511928360804,5.58614314032965,4094.37870746116,150,0,179.014388797239,97
480,5,1,10,190.555555555556,4.09437870746116,189.042070352625,0.992057512054594,5.28982780465043,6,6.18556701030928,4.65511928360804,5.58614314032965,4094.37870746116,150,0,179.014388797239,97
481,5,2,3,190.555555555556,2.00120915497283,190.690846061956,1.00070997933388,5.24409021540079,13,27.0833333333333,4.74775495906075,5.6973059508729,1000.60457748642,75,0,175.521555033706,48
482,5,2,3,190.555555555556,2.00120915497283,190.690846061956,1.00070997933388,5.24409021540079,13,27.0833333333333,4.74775495906075,5.6973059508729,1000.60457748642,75,0,175.521555033706,48
483,5,2,3,190.555555555556,2.00120915497283,190.690846061956,1.00070997933388,5.24409021540079,13,27.0833333333333,4.74775495906075,5.6973059508729,1000.60457748642,75,0,175.521555033706,48
484,5,2,3,190.555555555556,2.00120915497283,190.690846061956,1.00070997933388,5.24409021540079,13,27.0833333333333,4.74775495906075,5.6973059508729,1000.60457748642,75,0,175.521555033706,48
485,5,2,3,190.555555555556,2.00120915497283,190.690846061956,1.00070997933388,5.24409021540079,13,27.0833333333333,4.74775495906075,5.6973059508729,1000.60457748642,75,0,175.521555033706,48
486,5,2,3,190.555555555556,2.00120915497283,190.690846061956,1.00070997933388,5.24409021540079,13,27.0833333333333,4.74775495906075,5.6973059508729,1000.60457748642,75,0,175.521555033706,48
487,5,2,3,190.555555555556,2.00120915497283,190.690846061956,1.00070997933388,5.24409021540079,13,27.0833333333333,4.74775495906075,5.6973059508729,1000.60457748642,75,0,175.521555033706,48
488,5,2,3,190.555555555556,2.00120915497283,190.690846061956,1.00070997933388,5.24409021540079,13,27.0833333333333,4.74775495906075,5.6973059508729,1000.60457748642,75,0,175.521555033706,48
489,5,2,3,190.555555555556,2.00120915497283,190.690846061956,1.00070997933388,5.24409021540079,13,27.0833333333333,4.74775495906075,5.6973059508729,1000.60457748642,75,0,175.521555033706,48
490,5,2,3,190.555555555556,2.00120915497283,190.690846061956,1.00070997933388,5.24409021540079,13,27.0833333333333,4.74775495906075,5.6973059508729,1000.60457748642,75,0,175.521555033706,48
