SweepName,Response,ConditionValue,DistanceBinMid_m,N,Mean_ms,SD_ms,Median_ms,Q1_ms,Q3_ms
kr,Tb_ms,3,1.2,119,24.8301959033204,1.48803414873445,24.8623285257274,23.6758411132878,26.0626258626182
kr,Tb_ms,3,1.46666666666667,98,29.4301723859889,1.30485463059252,29.5468485473485,28.443445041315,30.3033432574287
kr,Tb_ms,3,1.73333333333333,75,33.9794892475311,1.39445230599466,33.8006754055056,32.8728520459358,35.0404930610654
kr,Tb_ms,3,2,77,38.5186366576354,1.40979684388116,38.095971724896,37.4490629680799,39.3640404231106
kr,Tb_ms,3,2.26666666666667,69,43.1709737658027,1.40594336331235,43.1685563426152,42.2883381552661,44.3237753329203
kr,Tb_ms,3,2.53333333333333,62,48.210645396065,1.43260390840633,48.2782418580538,46.8417822780483,49.5450630378684
kr,Tb_ms,3,2.8,53,52.3383283750191,1.2296882903468,52.3469601165388,51.3867814279581,53.0971309392726
kr,Tb_ms,3,3.06666666666667,52,57.1510323390163,1.38448639527774,57.0486099022745,56.0283016721833,58.5566501428201
kr,Tb_ms,3,3.33333333333333,44,61.805248663151,1.17096663312643,61.7984710366317,61.0029667203989,62.7200178914929
kr,Tb_ms,3,3.6,47,66.1742786108219,1.43297292886012,66.1871203075925,65.0430100779029,67.280798832073
kr,Tb_ms,3,3.86666666666667,31,70.450362411654,1.231298874416,70.276273770259,69.4806023075252,71.4968069348854
kr,Tb_ms,3,4.13333333333333,44,75.3952076710488,1.40578995006407,75.1601758798138,74.2047459840555,76.5210510769642
kr,Tb_ms,3,4.4,43,80.058174135001,1.4839729021745,79.9034083109917,78.8223014004026,81.3207587144595
kr,Tb_ms,3,4.66666666666667,14,84.5206121062163,0.990383420170947,84.1765601370593,83.8118318165816,85.3787330209289
kr,Tb_ms,5,0.133333333333333,192,6.84135288815959,1.30745032745325,6.80231932965465,5.86003416350514,7.53010713354138
kr,Tb_ms,5,0.4,252,12.6983701512152,2.67718565675868,12.494351581992,10.4618883103857,14.8794027155465
kr,Tb_ms,5,0.666666666666667,135,21.4920264843514,2.52298919970965,21.2365261763657,19.3003459979383,23.6278772100384
kr,Tb_ms,5,0.933333333333333,101,30.4103505614674,2.89806173278928,30.1150323624727,27.9323537602923,33.1990984977477
kr,Tb_ms,5,1.2,74,39.1398405176992,2.92385460457963,39.2668876814076,36.965668757334,41.2994410445789
kr,Tb_ms,5,1.46666666666667,63,47.7154430386364,2.77553001938024,47.4152294502014,45.5339267161647,49.8599092874327
kr,Tb_ms,5,1.73333333333333,54,55.9211201623354,2.6608495033443,55.6757609787001,53.4760381579937,58.0084735491837
kr,Tb_ms,5,2,54,64.2107425939423,2.55526165278827,64.3630095853129,62.1426826751474,65.7531591751175
kr,Tb_ms,5,2.26666666666667,43,71.9702516242487,2.23092252903692,71.5425186847149,70.1792977582573,73.8346728908605
kr,Tb_ms,5,2.53333333333333,32,79.4804859560766,2.12408122376032,79.1239470502754,77.845533121406,81.1125833703648
kr,Tb_ms,5,2.8,36,87.3847539312332,2.39288262873344,86.843269764309,85.5041978593028,89.9770646857388
kr,Tb_ms,5,3.06666666666667,34,95.0028887103555,2.41991755610219,94.8240763124906,93.1374909279437,97.1258285650186
kr,Tb_ms,5,3.33333333333333,28,102.482343559817,2.6394373564443,102.107740657647,100.3781160643,104.635611805494
kr,Tb_ms,5,3.6,31,111.077244891115,2.0868282654932,111.336521199965,109.822360558592,112.362109868339
kr,Tb_ms,5,3.86666666666667,28,117.830944807864,2.12204488771325,116.789235256367,116.227294249906,119.909108865043
kr,Tb_ms,5,4.13333333333333,22,125.916573727081,2.49327394032008,125.792370286539,124.044939812753,128.461064087937
kr,Tb_ms,5,4.4,23,133.218390905739,2.02406221826955,133.196757422326,131.539637543996,134.460832328268
kr,Tb_ms,5,4.66666666666667,6,140.80190148991,1.799931084617,140.81716737642,140.163582378777,141.391282482623
kr,Tb_ms,7,0.133333333333333,155,9.24065131170959,1.71753955942948,9.31355803477455,7.77370839216045,10.6509002901822
kr,Tb_ms,7,0.4,171,17.5279391767805,3.50683403561326,17.1678403631664,14.700161836599,20.0988524993573
kr,Tb_ms,7,0.666666666666667,105,29.104816725133,3.64993226790656,29.4233247270395,26.016080974925,32.0680387583359
kr,Tb_ms,7,0.933333333333333,74,41.0566433592693,3.72922611467379,40.7801623065476,38.3237871354079,43.9271360506903
kr,Tb_ms,7,1.2,62,52.5938203192312,3.6495960982993,52.3855605989578,49.8395218817332,55.2299803055976
kr,Tb_ms,7,1.46666666666667,45,64.809060530374,3.3151193352925,64.4340406603956,62.3989572443925,67.6475943345573
kr,Tb_ms,7,1.73333333333333,42,76.8138899676926,3.97351721906666,77.1511980211558,73.5368868818931,80.0002534628237
kr,Tb_ms,7,2,26,89.8363854703328,3.77311519782229,90.1429165893074,87.747731191093,92.9346604514083
kr,Tb_ms,7,2.26666666666667,35,99.8935055289333,3.0443097867028,99.9387456772515,97.6527127230177,102.096397621814
kr,Tb_ms,7,2.53333333333333,27,111.864062746751,3.45364920252216,112.215208858945,108.936451432845,114.778031747402
kr,Tb_ms,7,2.8,28,121.81700272374,3.87578132471779,120.75754306871,119.223247185781,124.322790410477
kr,Tb_ms,7,3.06666666666667,18,132.988104622241,2.91216281605973,133.045652495371,131.728351058503,134.483567597138
kr,Tb_ms,7,3.33333333333333,19,144.283089447774,3.3060038802127,144.699388672171,141.861100379561,146.959254812465
kr,Tb_ms,7,3.6,21,154.069763203727,3.82653445898917,153.900195328856,150.840217204481,157.414613870711
kr,Tb_ms,7,3.86666666666667,25,166.076608383786,3.15195852354281,166.926126656798,163.146925023393,168.680322258907
kr,Tb_ms,7,4.13333333333333,18,177.27295314512,2.77387967535086,177.137519393652,175.684689353114,179.24102844939
kr,Tb_ms,7,4.4,8,186.675175034634,2.53881287131609,186.583926192617,184.602887146489,188.154350152977
kr,Tb_ms,7,4.66666666666667,1,194.567044241014,0,194.567044241014,194.567044241014,194.567044241014
kr,Tb_ms,9,0.133333333333333,115,12.0922406898805,2.34437469195423,11.8130227704843,9.98824088323727,13.8048448959541
kr,Tb_ms,9,0.4,146,22.2775585283252,4.5070938936354,21.4128452415543,19.3021656966029,25.9300143083948
kr,Tb_ms,9,0.666666666666667,78,38.0358578139266,4.36594732759773,38.7553017148884,33.8745931345674,41.4054186249356
kr,Tb_ms,9,0.933333333333333,59,52.777420656748,4.97211222174679,53.4037211738113,49.557377902323,56.8548535365388
kr,Tb_ms,9,1.2,50,66.8540256994042,5.06581609058073,66.5700517335756,62.9909428827795,71.4942319760843
kr,Tb_ms,9,1.46666666666667,36,83.6496557385245,4.32519821869247,84.0683841917821,81.4164462077288,86.1100587814905
kr,Tb_ms,9,1.73333333333333,33,98.1015235093211,4.85961260186912,98.4802888977366,94.6632537482151,101.537343272895
kr,Tb_ms,9,2,20,111.450208291737,5.25920162602231,112.044476403648,106.047138029667,115.576279467872
kr,Tb_ms,9,2.26666666666667,31,126.760192155001,4.77596997344817,126.366852370348,123.222456447183,130.902407428187
kr,Tb_ms,9,2.53333333333333,16,144.009776610472,3.62775076050579,144.888829091451,142.039071661845,146.795303351207
kr,Tb_ms,9,2.8,27,156.5501408853,5.64746793733658,156.614157093716,150.77398551433,162.095940328301
kr,Tb_ms,9,3.06666666666667,14,172.035031109354,3.58581486253887,171.39627302338,168.901690489174,175.573450105731
kr,Tb_ms,9,3.33333333333333,16,186.777194799821,3.70993664436432,187.403978609206,183.647829776512,189.879134750931
kr,Tb_ms,9,3.6,13,198.258322039363,3.90956667058016,197.953688565631,194.965248061905,201.249803491263
kr,Tb_ms,9,3.86666666666667,13,213.118931536975,3.5644275041923,212.975402847031,211.135731952378,216.130159511353
kr,Tb_ms,9,4.13333333333333,12,225.783954309426,4.29208369711505,225.676632634594,222.729455927197,229.164135614228
kr,Tb_ms,9,4.4,5,238.820351814096,3.00425848397813,237.75870898021,236.551665566356,240.698158955843
phi,Ta_ms,0,0.133333333333333,228,1.17156677649559,0.194130580603148,1.14860551067112,1.00515942079991,1.34102505308484
phi,Ta_ms,0,0.4,280,2.20956874061929,0.441911551674525,2.16513700365767,1.83379284621266,2.56705062072396
phi,Ta_ms,0,0.666666666666667,157,3.79299512941044,0.442376389243471,3.78032555099058,3.39258210146805,4.17575971220252
phi,Ta_ms,0,0.933333333333333,115,5.33625887564856,0.458667385914349,5.34727266701027,4.885747516651,5.74203495245689
phi,Ta_ms,0,1.2,92,6.90378696862542,0.438848260658176,6.93720610888012,6.49292928886551,7.27803001156319
phi,Ta_ms,0,1.46666666666667,65,8.41562964122392,0.412697933816226,8.40894870348435,8.14365035352945,8.74579333505751
phi,Ta_ms,0,1.73333333333333,72,9.92065530851111,0.478260639873662,9.87909282680253,9.5371437871817,10.3987731966442
phi,Ta_ms,0,2,57,11.5415095231832,0.451888277502679,11.5665937291985,11.1685276811451,11.9152275415502
phi,Ta_ms,0,2.26666666666667,39,12.9923666629351,0.381482106680235,12.9826448660473,12.696273888249,13.2790571436415
phi,Ta_ms,0,2.53333333333333,41,14.50548009363,0.451117533323992,14.5112638797716,14.0708830193485,14.8331817750769
